activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,zstore,dcpp_init_year,version
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,ssp370,r1i1p1f1,Amon,tasmax,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp370/r1i1p1f1/Amon/tasmax/gn/v20191108/,,20191108
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,ssp370,r1i1p1f1,Amon,tasmin,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp370/r1i1p1f1/Amon/tasmin/gn/v20191108/,,20191108
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/clt/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,huss,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/huss/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,pr,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/pr/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,psl,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/psl/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/rlds/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,rsds,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/rsds/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,sfcWind,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/sfcWind/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/tas/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,tasmax,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/tasmax/gn/v20190828/,,20190828
CMIP,CAS,FGOALS-g3,historical,r2i1p1f1,Amon,tasmin,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/historical/r2i1p1f1/Amon/tasmin/gn/v20190828/,,20190828
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/clt/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,huss,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/huss/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,pr,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/pr/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,psl,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/psl/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/rlds/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,rsds,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/rsds/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,sfcWind,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/sfcWind/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/tas/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,tasmax,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/tasmax/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,Amon,tasmin,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp126/r2i1p1f1/Amon/tasmin/gn/v20200923/,,20200923
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/clt/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,huss,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/huss/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,pr,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/pr/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,psl,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/psl/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,rlds,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/rlds/gn/v20191211/,,20191211
ScenarioMIP,CAS,FGOALS-g3,ssp245,r2i1p1f1,Amon,rsds,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/rsds/gn/v20191211/,,20191211
